@N: MF248 |Running in 64-bit mode.
@N: MF666 |Clock conversion enabled. (Command "set_option -fix_gated_and_generated_clocks 1" in the project file.)
@N: FX493 |Applying initial value "0000" on instance usb_2_spi_unit.usb_fs_slave_1.usb_serial_1.usb_transact_inst.s_endpt[3:0].
@N: FX493 |Applying initial value "0000000" on instance usb_2_spi_unit.usb_fs_slave_1.usb_serial_1.usb_control_inst.s_addr[6:0].
@N: FX493 |Applying initial value "00" on instance usb_2_spi_unit.usb_fs_slave_1.usb_serial_1.s_halt_in[1:2].
@N: BN362 :"c:\work\upwork\projects\usb_demo_xo2_bob\implementation\usb_1p1_demo\reveal_workspace\tmpreveal\usb_2_spi_top_lat_bb_rvl_top.vhd":4924:8:4924:9|Removing sequential instance txbuf_rdat[7] (in view: work.usb_serial_uniq_0_work_usb_2_spi_top_lat_bb_rtl_0layer0(usb_serial_arch)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"c:\work\upwork\projects\usb_demo_xo2_bob\implementation\usb_1p1_demo\reveal_workspace\tmpreveal\usb_2_spi_top_lat_bb_rvl_top.vhd":4924:8:4924:9|Removing sequential instance txbuf_rdat[6] (in view: work.usb_serial_uniq_0_work_usb_2_spi_top_lat_bb_rtl_0layer0(usb_serial_arch)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"c:\work\upwork\projects\usb_demo_xo2_bob\implementation\usb_1p1_demo\reveal_workspace\tmpreveal\usb_2_spi_top_lat_bb_rvl_top.vhd":4924:8:4924:9|Removing sequential instance txbuf_rdat[5] (in view: work.usb_serial_uniq_0_work_usb_2_spi_top_lat_bb_rtl_0layer0(usb_serial_arch)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"c:\work\upwork\projects\usb_demo_xo2_bob\implementation\usb_1p1_demo\reveal_workspace\tmpreveal\usb_2_spi_top_lat_bb_rvl_top.vhd":4924:8:4924:9|Removing sequential instance txbuf_rdat[4] (in view: work.usb_serial_uniq_0_work_usb_2_spi_top_lat_bb_rtl_0layer0(usb_serial_arch)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"c:\work\upwork\projects\usb_demo_xo2_bob\implementation\usb_1p1_demo\reveal_workspace\tmpreveal\usb_2_spi_top_lat_bb_rvl_top.vhd":4924:8:4924:9|Removing sequential instance txbuf_rdat[3] (in view: work.usb_serial_uniq_0_work_usb_2_spi_top_lat_bb_rtl_0layer0(usb_serial_arch)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"c:\work\upwork\projects\usb_demo_xo2_bob\implementation\usb_1p1_demo\reveal_workspace\tmpreveal\usb_2_spi_top_lat_bb_rvl_top.vhd":4924:8:4924:9|Removing sequential instance txbuf_rdat[2] (in view: work.usb_serial_uniq_0_work_usb_2_spi_top_lat_bb_rtl_0layer0(usb_serial_arch)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"c:\work\upwork\projects\usb_demo_xo2_bob\implementation\usb_1p1_demo\reveal_workspace\tmpreveal\usb_2_spi_top_lat_bb_rvl_top.vhd":4924:8:4924:9|Removing sequential instance txbuf_rdat[1] (in view: work.usb_serial_uniq_0_work_usb_2_spi_top_lat_bb_rtl_0layer0(usb_serial_arch)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"c:\work\upwork\projects\usb_demo_xo2_bob\implementation\usb_1p1_demo\reveal_workspace\tmpreveal\usb_2_spi_top_lat_bb_rvl_top.vhd":4924:8:4924:9|Removing sequential instance txbuf_rdat[0] (in view: work.usb_serial_uniq_0_work_usb_2_spi_top_lat_bb_rtl_0layer0(usb_serial_arch)) of type view:PrimLib.dff(prim) because it does not drive other instances.
